D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
2.439478957915832,0.0,0.0,0.0,0.0,0.0
2.442685370741483,0.0,0.0,0.0,0.0,0.0
2.4458917835671343,0.0,0.0,0.0,0.0,0.0
2.449098196392786,0.0,0.0,0.0,0.0,0.0
2.452304609218437,0.0,0.0,0.0,0.0,0.0
2.4555110220440883,0.0,0.0,0.0,0.0,0.0
2.4587174348697394,0.0,0.0,0.0,0.0,0.0
2.461923847695391,0.0,0.0,0.0,0.0,0.0
2.4651302605210423,0.0,0.0,0.0,0.0,0.0
2.4683366733466934,0.0,0.0,0.0,0.0,0.0
2.4715430861723444,0.0,0.0,0.0,0.0,0.0
2.474749498997996,0.0,0.0,0.0,0.0,0.0
2.4779559118236474,0.0,0.0,0.0,0.0,0.0
2.481162324649299,0.0,0.0,0.0,0.0,0.0
2.48436873747495,0.0,0.0,0.0,0.0,0.0
2.487575150300601,0.0,0.0,0.0,0.0,0.0
2.4907815631262524,0.0,0.0,0.0,0.0,0.0
2.493987975951904,0.0,0.0,0.0,0.0,0.0
2.497194388777555,0.0,0.0,0.0,0.0,0.0
2.5004008016032064,0.0,0.0,0.0,0.0,0.0
2.5036072144288575,0.0,0.0,0.0,0.0,0.0
2.506813627254509,0.0,0.0,0.0,0.0,0.0
2.5100200400801604,0.0,0.0,0.0,0.0,0.0
2.513226452905812,0.0,0.0,0.0,0.0,0.0
2.516432865731463,0.0,0.0,0.0,0.0,0.0
2.519639278557114,0.0,0.0,0.0,0.0,0.0
2.5228456913827655,0.0,0.0,0.0,0.0,0.0
2.526052104208417,0.0,0.0,0.0,0.0,0.0
2.5292585170340685,0.0,0.0,0.0,0.0,0.0
2.5324649298597195,0.0,0.0,0.0,0.0,0.0
2.5356713426853705,0.0,0.0,0.0,0.0,0.0
2.538877755511022,0.0,0.0,0.0,0.0,0.0
2.5420841683366735,0.0,0.0,0.0,0.0,0.0
2.5452905811623245,0.0,0.0,0.0,0.0,0.0
2.548496993987976,0.0,0.0,0.0,0.0,0.0
2.551703406813627,0.0,0.0,0.0,0.0,0.0
2.5549098196392785,0.0,0.0,0.0,0.0,0.0
2.55811623246493,0.0,0.0,0.0,0.0,0.0
2.561322645290581,0.0,0.0,0.0,0.0,0.0
2.5645290581162326,0.0,0.0,0.0,0.0,0.0
2.5677354709418836,0.0,0.0,0.0,0.0,0.0
2.570941883767535,0.0,0.0,0.0,0.0,0.0
2.5741482965931866,0.0,0.0,0.0,0.0,0.0
2.5773547094188376,0.0,0.0,0.0,0.0,0.0
2.580561122244489,0.0,0.0,0.0,0.0,0.0
2.58376753507014,0.0,0.0,0.0,0.0,0.0
2.5869739478957916,0.0,0.0,0.0,0.0,0.0
2.590180360721443,0.0,0.0,0.0,0.0,0.0
2.593386773547094,0.0,0.0,0.0,0.0,0.0
2.596593186372745,0.0,0.0,0.0,0.0,0.0
2.5997995991983966,0.0,0.0,0.0,0.0,0.0
2.603006012024048,0.0,0.0,0.0,0.0,0.0
2.6062124248496996,0.0,0.0,0.0,0.0,0.0
2.6094188376753507,0.0,0.0,0.0,0.0,0.0
2.6126252505010017,0.0,0.0,0.0,0.0,0.0
2.615831663326653,0.0,0.0,0.0,0.0,0.0
2.6190380761523047,0.0,0.0,0.0,0.0,0.0
2.622244488977956,0.0,0.0,0.0,0.0,0.0
2.625450901803607,0.0,0.0,0.0,0.0,0.0
2.6286573146292582,0.0,0.0,0.0,0.0,0.0
2.6318637274549097,0.0,0.0,0.0,0.0,0.0
2.635070140280561,0.0,0.0,0.0,0.0,0.0
2.6382765531062127,0.0,0.0,0.0,0.0,0.0
2.6414829659318637,0.0,0.0,0.0,0.0,0.0
2.6446893787575148,0.0,0.0,0.0,0.0,0.0
2.6478957915831662,0.0,0.0,0.0,0.0,0.0
2.6511022044088177,0.0,0.0,0.0,0.0,0.0
2.654308617234469,0.0,0.0,0.0,0.0,0.0
2.6575150300601202,0.0,0.0,0.0,0.0,0.0
2.6607214428857713,0.0,0.0,0.0,0.0,0.0
2.6639278557114228,0.0,0.0,0.0,0.0,0.0
2.6671342685370742,0.0,0.0,0.0,0.0,0.0
2.6703406813627257,0.0,0.0,0.0,0.0,0.0
2.6735470941883768,0.0,0.0,0.0,0.0,0.0
2.676753507014028,0.0,0.0,0.0,0.0,0.0
2.6799599198396793,0.0,0.0,0.0,0.0,0.0
